hora,segundo,cpu_porcentaje,ram_usada_mb,ram_porcentaje
17:23:51,0,19.6,17308,53.4
17:23:52,1,17.4,17246,53.3
17:23:53,2,12.4,17246,53.2
17:23:54,3,7.1,17245,53.2
17:23:55,4,8.6,17239,53.2
17:23:56,5,8.1,17239,53.2
17:23:57,6,11.2,17260,53.3
17:23:58,7,8.0,17252,53.3
17:23:59,8,10.8,17283,53.4
17:24:00,9,17.6,17247,53.3
17:24:01,10,23.1,17322,53.5
17:24:02,11,14.3,17321,53.5
17:24:03,12,9.0,17290,53.4
17:24:04,13,11.3,17307,53.4
17:24:05,14,15.2,17309,53.4
17:24:06,15,7.5,17307,53.4
17:24:07,16,10.9,17311,53.4
17:24:08,17,10.2,17304,53.4
17:24:09,18,10.6,17288,53.4
17:24:10,19,12.3,17307,53.4
17:24:11,20,11.1,17288,53.4
17:24:12,21,14.3,17317,53.5
17:24:13,22,11.4,17297,53.4
17:24:14,23,9.1,17310,53.4
17:24:15,24,10.4,17290,53.4
17:24:16,25,19.4,17254,53.3
17:24:17,26,19.1,17243,53.2
17:24:18,27,19.4,17256,53.3
17:24:19,28,20.3,17286,53.4
17:24:20,29,24.9,17301,53.4
17:24:21,30,9.5,17295,53.4
17:24:22,31,10.8,17304,53.4
17:24:23,32,14.9,17321,53.5
17:24:24,33,6.0,17307,53.4
17:24:25,34,5.7,17324,53.5
17:24:26,35,9.8,17298,53.4
17:24:27,36,8.0,17308,53.4
17:24:28,37,11.0,17306,53.4
17:24:29,38,10.3,17319,53.5
17:24:30,39,8.7,17316,53.5
17:24:31,40,11.1,17314,53.5
17:24:32,41,19.9,17456,53.9
17:24:33,42,18.7,17462,53.9
17:24:34,43,10.5,17440,53.8
17:24:35,44,5.7,17440,53.8
17:24:36,45,9.8,17441,53.9
17:24:37,46,24.7,17537,54.1
17:24:38,47,12.1,17545,54.2
17:24:39,48,6.3,17530,54.1
17:24:40,49,6.5,17525,54.1
17:24:41,50,6.3,17523,54.1
17:24:42,51,7.8,17502,54.0
17:24:43,52,10.1,17468,53.9
17:24:44,53,7.3,17453,53.9
17:24:45,54,14.4,17479,54.0
17:24:46,55,11.5,17498,54.0
17:24:47,56,9.7,17459,53.9
17:24:48,57,9.6,17464,53.9
17:24:49,58,9.9,17461,53.9
17:24:50,59,11.7,17459,53.9
17:24:51,60,7.8,17483,54.0
17:24:52,61,5.6,17461,53.9
17:24:53,62,5.4,17454,53.9
17:24:54,63,13.4,17803,55.0
17:24:55,64,11.0,17817,55.0
17:24:56,65,8.3,17819,55.0
17:24:57,66,9.6,17827,55.0
17:24:58,67,13.2,17834,55.1
17:24:59,68,9.9,17833,55.1
17:25:00,69,14.9,17844,55.1
17:25:01,70,13.2,17837,55.1
17:25:02,71,13.0,17826,55.0
17:25:03,72,10.8,17827,55.0
17:25:04,73,13.9,17854,55.1
17:25:05,74,12.6,17843,55.1
17:25:06,75,9.9,17843,55.1
17:25:07,76,10.5,17829,55.1
17:25:08,77,14.3,17976,55.5
17:25:09,78,13.0,18008,55.6
17:25:10,79,17.1,17891,55.2
17:25:11,80,20.8,17984,55.5
17:25:12,81,21.4,17991,55.6
17:25:13,82,21.7,18007,55.6
17:25:14,83,15.5,18042,55.7
17:25:15,84,12.8,18090,55.9
17:25:16,85,22.4,18109,55.9
17:25:17,86,22.7,18112,55.9
17:25:18,87,11.9,18075,55.8
17:25:19,88,11.1,18071,55.8
17:25:20,89,12.8,18072,55.8
17:25:21,90,12.5,18043,55.7
17:25:22,91,12.4,17979,55.5
17:25:23,92,15.7,17970,55.5
17:25:24,93,14.5,17959,55.5
17:25:25,94,16.8,17972,55.5
17:25:26,95,13.5,17976,55.5
17:25:27,96,11.4,17984,55.5
17:25:28,97,12.2,17992,55.6
17:25:29,98,9.0,17975,55.5
17:25:30,99,10.4,17985,55.5
17:25:31,100,19.7,18004,55.6
17:25:32,101,10.4,17994,55.6
17:25:33,102,10.5,18000,55.6
17:25:34,103,15.3,17988,55.5
17:25:35,104,16.7,17985,55.5
17:25:36,105,8.2,17985,55.5
17:25:37,106,8.8,17984,55.5
17:25:38,107,8.0,17982,55.5
17:25:39,108,15.3,17990,55.5
17:25:40,109,11.0,17997,55.6
17:25:41,110,11.6,17974,55.5
17:25:42,111,8.8,17964,55.5
17:25:43,112,13.2,17996,55.6
17:25:44,113,14.3,18024,55.7
17:25:45,114,9.1,18063,55.8
17:25:46,115,13.8,18196,56.2
17:25:47,116,12.9,18240,56.3
17:25:48,117,14.4,18079,55.8
17:25:49,118,20.8,18101,55.9
17:25:50,119,10.0,18088,55.9
17:25:51,120,17.5,18126,56.0
17:25:52,121,24.7,18128,56.0
17:25:53,122,17.1,18114,55.9
17:25:54,123,12.2,18101,55.9
17:25:55,124,10.6,18015,55.6
17:25:56,125,8.5,18024,55.7
17:25:57,126,6.7,18013,55.6
17:25:58,127,4.0,17998,55.6
17:25:59,128,14.8,17994,55.6
17:26:00,129,12.9,17997,55.6
17:26:01,130,9.3,17989,55.5
17:26:02,131,8.4,17976,55.5
17:26:03,132,9.5,17975,55.5
17:26:04,133,9.0,17974,55.5
17:26:05,134,10.3,17969,55.5
17:26:06,135,23.7,18007,55.6
17:26:07,136,10.0,18001,55.6
