timestamp_perf_counter,process_cpu_percent,process_rss_mib,system_ram_percent,gpu_allocated_mib,gpu_reserved_mib
1060421.1173792,0.0,1302.78,61.7,427.7,474.0
1060421.1684985,66.5,1303.0,61.7,428.18,476.0
1060421.2190544,135.9,1303.02,61.7,428.17,476.0
1060421.2696209,99.7,1303.07,61.7,428.16,476.0
1060421.320646,74.4,1303.13,61.7,427.85,476.0
1060421.3715315,99.7,1303.13,61.7,428.33,476.0
1060421.422071,133.0,1303.13,61.7,427.99,476.0
1060421.4727425,101.9,1303.14,61.7,428.26,476.0
1060421.5235805,74.4,1303.14,61.7,428.17,476.0
1060421.5741549,99.7,1303.14,61.7,427.97,476.0
1060421.6251873,66.5,1303.15,61.7,428.38,476.0
1060421.6757212,133.0,1303.15,61.7,427.7,476.0
1060421.7266291,75.6,1303.15,61.7,427.97,476.0
1060421.7777223,99.7,1303.15,61.7,428.29,476.0
1060421.8283287,133.0,1303.16,61.7,428.24,476.0
1060421.8791909,66.5,1303.16,61.7,428.6,476.0
1060421.9297262,75.6,1303.16,61.7,428.36,476.0
1060421.9806667,99.7,1303.16,61.7,427.82,476.0
1060422.0312207,99.7,1303.16,61.7,428.16,476.0
1060422.0817523,133.0,1303.16,61.7,428.1,476.0
1060422.1327007,50.4,1303.16,61.7,428.07,476.0
1060422.1833143,99.7,1303.16,61.7,427.87,476.0
1060422.2342446,99.7,1303.18,61.7,428.23,476.0
1060422.2852133,133.0,1303.21,61.7,428.36,476.0
1060422.3357907,75.6,1303.23,61.7,428.08,476.0
1060422.3863603,99.7,1303.23,61.7,428.52,476.0
1060422.4369353,99.7,1303.23,61.7,428.31,476.0
1060422.4875129,133.0,1303.24,61.7,428.06,476.0
1060422.5380885,74.4,1303.27,61.6,428.42,476.0
1060422.5886376,101.9,1303.27,61.6,427.7,476.0
1060422.6392243,99.7,1303.27,61.6,428.12,476.0
1060422.6900044,133.0,1303.28,61.6,428.33,476.0
1060422.7405403,74.4,1303.32,61.6,428.87,476.0
1060422.791452,99.7,1303.34,61.6,428.11,476.0
1060422.8420142,101.9,1303.34,61.6,427.94,476.0
1060422.8926512,133.0,1303.34,61.6,427.7,476.0
1060422.9432304,74.4,1303.35,61.6,427.7,476.0
1060422.9941124,99.7,1303.43,61.6,428.69,476.0
1060423.0446749,99.7,1303.43,61.6,428.51,476.0
1060423.0956776,135.9,1303.43,61.6,427.7,476.0
1060423.1463817,74.4,1303.43,61.6,427.7,476.0
1060423.1971934,99.7,1303.43,61.6,428.05,476.0
1060423.2478823,99.7,1303.43,61.6,428.4,476.0
1060423.2985277,133.0,1303.48,61.6,428.59,476.0
1060423.3492409,75.6,1303.77,61.6,427.7,476.0
1060423.3998869,99.7,1303.8,61.6,428.27,476.0
1060423.4507479,99.7,1303.8,61.6,428.19,476.0
1060423.5013827,133.0,1390.08,61.9,431.34,478.0
1060423.5522736,75.6,1390.69,61.9,428.61,478.0
1060423.6029441,99.7,1390.69,61.9,432.89,478.0
1060423.6538689,99.7,1390.69,61.9,432.44,478.0
1060423.7045568,133.0,1391.02,61.9,441.87,478.0
1060423.7553225,75.6,1391.02,61.9,432.66,478.0
1060423.8059038,99.7,1391.04,61.9,431.77,478.0
1060423.8569954,99.7,1391.6,61.9,431.34,478.0
1060423.9078202,133.0,1391.62,61.9,427.73,518.0
1060423.9585144,75.6,1391.62,61.9,443.04,518.0
1060424.009353,99.7,1391.62,61.8,427.73,518.0
1060424.0599552,99.7,1391.62,61.8,446.26,518.0
1060424.1105328,66.5,1391.62,61.8,427.73,518.0
1060424.1614315,99.2,1392.38,61.8,453.2,550.0
1060424.212908,101.9,1392.41,61.8,427.76,550.0
1060424.2636077,99.7,1392.41,61.8,427.76,550.0
1060424.3144624,133.0,1392.41,61.8,427.76,550.0
1060424.3653421,74.4,1392.41,61.8,445.99,550.0
1060424.4162392,99.7,1392.41,61.8,427.76,550.0
1060424.466939,101.9,1392.41,61.8,427.76,550.0
1060424.5175045,133.0,1392.41,61.8,427.76,550.0
1060424.5683015,74.4,1392.41,61.8,427.76,550.0
1060424.6188886,99.7,1392.41,61.8,464.03,550.0
1060424.669542,99.7,1392.42,61.8,427.7,550.0
1060424.7201074,135.9,1392.43,61.8,428.17,550.0
1060424.7706671,99.7,1392.43,61.8,428.29,550.0
1060424.8215444,74.4,1392.43,61.8,428.04,550.0
1060424.8726464,99.7,1392.43,61.8,427.7,550.0
1060424.9233875,133.0,1392.45,61.8,428.15,550.0
1060424.9739744,101.9,1392.45,61.8,428.17,550.0
1060425.0246539,74.4,1392.45,61.8,428.1,550.0
1060425.0752487,99.7,1392.45,61.8,428.11,550.0
1060425.1261553,133.0,1392.45,61.8,428.62,550.0
1060425.1767396,99.7,1392.45,61.8,428.15,550.0
1060425.2276524,75.6,1392.48,61.8,428.31,550.0
1060425.2786945,99.7,1392.48,61.8,428.11,550.0
1060425.3292959,99.7,1392.48,61.8,428.01,550.0
1060425.3801594,100.8,1392.48,61.8,428.01,550.0
1060425.4309104,99.7,1392.48,61.8,428.28,550.0
1060425.4816698,99.7,1392.48,61.8,428.03,550.0
1060425.5322236,133.0,1392.48,61.8,428.12,550.0
1060425.5828923,99.7,1392.48,61.8,428.04,550.0
1060425.6337179,75.6,1392.48,61.8,428.29,550.0
1060425.6847081,99.7,1392.48,61.9,428.52,550.0
1060425.7353083,133.0,1392.48,61.8,428.11,550.0
1060425.7862127,99.7,1392.48,61.8,427.7,550.0
1060425.8368604,75.6,1392.48,61.8,428.21,550.0
1060425.8877625,99.7,1392.49,61.8,427.7,550.0
1060425.9383164,133.0,1392.51,61.8,428.16,550.0
1060425.989275,99.7,1392.52,61.8,428.04,550.0
1060426.0398451,74.4,1392.52,61.8,428.11,550.0
1060426.0908174,101.9,1392.52,61.8,427.87,550.0
1060426.1413965,133.0,1392.52,61.8,428.27,550.0
1060426.1920115,99.7,1392.52,61.8,428.17,550.0
1060426.242791,74.4,1392.52,61.8,428.01,550.0
1060426.2933531,99.7,1392.52,61.8,428.12,550.0
1060426.3443254,135.9,1392.52,61.8,428.13,550.0
1060426.3953012,99.7,1392.52,61.8,427.7,550.0
1060426.4459285,74.4,1392.52,61.8,428.52,550.0
1060426.4968021,99.7,1392.53,61.8,428.41,550.0
1060426.5473629,133.0,1392.53,61.8,428.18,550.0
1060426.5983518,101.9,1392.53,61.8,428.23,550.0
1060426.6489331,74.4,1392.53,61.8,427.7,550.0
1060426.6994976,99.7,1392.53,61.9,428.05,550.0
1060426.7500704,133.0,1392.53,61.9,428.5,550.0
1060426.800633,66.5,1392.53,61.9,427.92,550.0
1060426.8513478,75.6,1392.53,61.9,428.28,550.0
1060426.9019049,99.7,1392.53,61.9,427.98,550.0
1060426.9528764,99.7,1392.54,61.9,428.05,550.0
1060427.0036576,133.0,1392.54,61.9,428.07,550.0
1060427.0544074,75.6,1392.54,61.9,428.33,550.0
1060427.1049533,99.7,1392.54,61.9,428.05,550.0
1060427.1559423,99.7,1392.54,61.9,427.7,550.0
